day_type,days_out,avg_completion_ratio,sample_count,std_deviation,confidence
weekday,30,0.3917,415,0.024,high
weekday,29,0.4323,415,0.0265,high
weekday,28,0.4574,415,0.0249,high
weekday,27,0.481,415,0.0256,high
weekday,26,0.5017,415,0.0273,high
weekday,25,0.5231,415,0.0276,high
weekday,24,0.5444,415,0.0271,high
weekday,23,0.5654,415,0.0299,high
weekday,22,0.5887,415,0.0301,high
weekday,21,0.6101,415,0.0298,high
weekday,20,0.6332,415,0.0293,high
weekday,19,0.6569,415,0.0308,high
weekday,18,0.676,415,0.0302,high
weekday,17,0.7006,415,0.0329,high
weekday,16,0.7216,415,0.0336,high
weekday,15,0.7422,415,0.0338,high
weekday,14,0.7646,415,0.0359,high
weekday,13,0.7872,415,0.035,high
weekday,12,0.8089,415,0.0372,high
weekday,11,0.8298,415,0.0374,high
weekday,10,0.8538,415,0.0367,high
weekday,9,0.8758,415,0.0356,high
weekday,8,0.8967,415,0.0373,high
weekday,7,0.9174,415,0.0372,high
weekday,6,0.9363,415,0.0359,high
weekday,5,0.9536,415,0.0324,high
weekday,4,0.9686,415,0.0267,high
weekday,3,0.9819,415,0.0203,high
weekday,2,0.9899,415,0.0143,high
weekday,1,0.9959,415,0.0099,high
weekday,0,1.0,415,0.0,high
weekend,30,0.2426,311,0.0146,high
weekend,29,0.2675,311,0.0166,high
weekend,28,0.2829,311,0.015,high
weekend,27,0.294,311,0.0155,high
weekend,26,0.3062,311,0.0151,high
weekend,25,0.3165,311,0.0151,high
weekend,24,0.3265,311,0.0162,high
weekend,23,0.3379,311,0.0185,high
weekend,22,0.3495,311,0.0189,high
weekend,21,0.3608,311,0.0195,high
weekend,20,0.3745,311,0.022,high
weekend,19,0.3881,311,0.0213,high
weekend,18,0.4065,311,0.0218,high
weekend,17,0.4279,311,0.0218,high
weekend,16,0.4506,311,0.0248,high
weekend,15,0.4748,311,0.0271,high
weekend,14,0.4979,311,0.0272,high
weekend,13,0.5277,311,0.0324,high
weekend,12,0.5584,311,0.0349,high
weekend,11,0.5896,311,0.0339,high
weekend,10,0.6224,311,0.0352,high
weekend,9,0.6553,311,0.0365,high
weekend,8,0.6865,311,0.0351,high
weekend,7,0.7233,311,0.0388,high
weekend,6,0.7534,311,0.0408,high
weekend,5,0.7934,311,0.0451,high
weekend,4,0.833,311,0.0496,high
weekend,3,0.8804,311,0.0479,high
weekend,2,0.9338,311,0.0471,high
weekend,1,0.9709,311,0.036,high
weekend,0,1.0,311,0.0,high
