stay_date,days_out,rooms_booked_cumulative,day_type,final_occupancy
01012024,30,24,weekday,68
01012024,29,27,weekday,68
01012024,28,28,weekday,68
01012024,27,32,weekday,68
01012024,26,33,weekday,68
01012024,25,36,weekday,68
01012024,24,37,weekday,68
01012024,23,37,weekday,68
01012024,22,37,weekday,68
01012024,21,37,weekday,68
01012024,20,40,weekday,68
01012024,19,46,weekday,68
01012024,18,46,weekday,68
01012024,17,46,weekday,68
01012024,16,49,weekday,68
01012024,15,49,weekday,68
01012024,14,49,weekday,68
01012024,13,53,weekday,68
01012024,12,56,weekday,68
01012024,11,56,weekday,68
01012024,10,63,weekday,68
01012024,9,63,weekday,68
01012024,8,63,weekday,68
01012024,7,63,weekday,68
01012024,6,67,weekday,68
01012024,5,67,weekday,68
01012024,4,67,weekday,68
01012024,3,67,weekday,68
01012024,2,68,weekday,68
01012024,1,68,weekday,68
01012024,0,68,weekday,68
01012025,30,27,weekday,71
01012025,29,29,weekday,71
01012025,28,30,weekday,71
01012025,27,33,weekday,71
01012025,26,33,weekday,71
01012025,25,37,weekday,71
01012025,24,43,weekday,71
01012025,23,43,weekday,71
01012025,22,43,weekday,71
01012025,21,46,weekday,71
01012025,20,46,weekday,71
01012025,19,46,weekday,71
01012025,18,49,weekday,71
01012025,17,49,weekday,71
01012025,16,49,weekday,71
01012025,15,52,weekday,71
01012025,14,59,weekday,71
01012025,13,59,weekday,71
01012025,12,59,weekday,71
01012025,11,60,weekday,71
01012025,10,60,weekday,71
01012025,9,60,weekday,71
01012025,8,60,weekday,71
01012025,7,60,weekday,71
01012025,6,67,weekday,71
01012025,5,67,weekday,71
01012025,4,70,weekday,71
01012025,3,70,weekday,71
01012025,2,71,weekday,71
01012025,1,71,weekday,71
01012025,0,71,weekday,71
01022024,30,29,weekday,69
01022024,29,32,weekday,69
01022024,28,32,weekday,69
01022024,27,36,weekday,69
01022024,26,36,weekday,69
01022024,25,37,weekday,69
01022024,24,37,weekday,69
01022024,23,38,weekday,69
01022024,22,38,weekday,69
01022024,21,40,weekday,69
01022024,20,40,weekday,69
01022024,19,46,weekday,69
01022024,18,49,weekday,69
01022024,17,49,weekday,69
01022024,16,55,weekday,69
01022024,15,55,weekday,69
01022024,14,55,weekday,69
01022024,13,55,weekday,69
01022024,12,57,weekday,69
01022024,11,59,weekday,69
01022024,10,59,weekday,69
01022024,9,59,weekday,69
01022024,8,59,weekday,69
01022024,7,64,weekday,69
01022024,6,68,weekday,69
01022024,5,68,weekday,69
01022024,4,68,weekday,69
01022024,3,69,weekday,69
01022024,2,69,weekday,69
01022024,1,69,weekday,69
01022024,0,69,weekday,69
01022025,30,21,weekend,87
01022025,29,24,weekend,87
01022025,28,24,weekend,87
01022025,27,25,weekend,87
01022025,26,27,weekend,87
01022025,25,27,weekend,87
01022025,24,28,weekend,87
01022025,23,29,weekend,87
01022025,22,33,weekend,87
01022025,21,33,weekend,87
01022025,20,33,weekend,87
01022025,19,34,weekend,87
01022025,18,34,weekend,87
01022025,17,35,weekend,87
01022025,16,42,weekend,87
01022025,15,42,weekend,87
01022025,14,45,weekend,87
01022025,13,48,weekend,87
01022025,12,48,weekend,87
01022025,11,52,weekend,87
01022025,10,52,weekend,87
01022025,9,60,weekend,87
01022025,8,60,weekend,87
01022025,7,63,weekend,87
01022025,6,67,weekend,87
01022025,5,67,weekend,87
01022025,4,67,weekend,87
01022025,3,68,weekend,87
01022025,2,83,weekend,87
01022025,1,86,weekend,87
01022025,0,87,weekend,87
01032024,30,21,weekend,90
01032024,29,23,weekend,90
01032024,28,25,weekend,90
01032024,27,25,weekend,90
01032024,26,27,weekend,90
01032024,25,28,weekend,90
01032024,24,28,weekend,90
01032024,23,28,weekend,90
01032024,22,30,weekend,90
01032024,21,30,weekend,90
01032024,20,33,weekend,90
01032024,19,34,weekend,90
01032024,18,39,weekend,90
01032024,17,39,weekend,90
01032024,16,40,weekend,90
01032024,15,41,weekend,90
01032024,14,44,weekend,90
01032024,13,44,weekend,90
01032024,12,56,weekend,90
01032024,11,56,weekend,90
01032024,10,58,weekend,90
01032024,9,64,weekend,90
01032024,8,64,weekend,90
01032024,7,72,weekend,90
01032024,6,72,weekend,90
01032024,5,72,weekend,90
01032024,4,75,weekend,90
01032024,3,83,weekend,90
01032024,2,84,weekend,90
01032024,1,84,weekend,90
01032024,0,90,weekend,90
01032025,30,20,weekend,86
01032025,29,22,weekend,86
01032025,28,23,weekend,86
01032025,27,23,weekend,86
01032025,26,23,weekend,86
01032025,25,25,weekend,86
01032025,24,25,weekend,86
01032025,23,26,weekend,86
01032025,22,28,weekend,86
01032025,21,29,weekend,86
01032025,20,30,weekend,86
01032025,19,30,weekend,86
01032025,18,30,weekend,86
01032025,17,32,weekend,86
01032025,16,38,weekend,86
01032025,15,43,weekend,86
01032025,14,43,weekend,86
01032025,13,47,weekend,86
01032025,12,47,weekend,86
01032025,11,52,weekend,86
01032025,10,52,weekend,86
01032025,9,61,weekend,86
01032025,8,61,weekend,86
01032025,7,65,weekend,86
01032025,6,65,weekend,86
01032025,5,66,weekend,86
01032025,4,66,weekend,86
01032025,3,73,weekend,86
01032025,2,79,weekend,86
01032025,1,85,weekend,86
01032025,0,86,weekend,86
01042024,30,26,weekday,70
01042024,29,28,weekday,70
01042024,28,32,weekday,70
01042024,27,34,weekday,70
01042024,26,34,weekday,70
01042024,25,36,weekday,70
01042024,24,38,weekday,70
01042024,23,38,weekday,70
01042024,22,44,weekday,70
01042024,21,44,weekday,70
01042024,20,46,weekday,70
01042024,19,46,weekday,70
01042024,18,49,weekday,70
01042024,17,52,weekday,70
01042024,16,52,weekday,70
01042024,15,52,weekday,70
01042024,14,52,weekday,70
01042024,13,52,weekday,70
01042024,12,54,weekday,70
01042024,11,54,weekday,70
01042024,10,58,weekday,70
01042024,9,58,weekday,70
01042024,8,62,weekday,70
01042024,7,66,weekday,70
01042024,6,66,weekday,70
01042024,5,66,weekday,70
01042024,4,69,weekday,70
01042024,3,70,weekday,70
01042024,2,70,weekday,70
01042024,1,70,weekday,70
01042024,0,70,weekday,70
01042025,30,24,weekday,65
01042025,29,26,weekday,65
01042025,28,30,weekday,65
01042025,27,33,weekday,65
01042025,26,33,weekday,65
01042025,25,33,weekday,65
01042025,24,35,weekday,65
01042025,23,39,weekday,65
01042025,22,39,weekday,65
01042025,21,39,weekday,65
01042025,20,43,weekday,65
01042025,19,43,weekday,65
01042025,18,45,weekday,65
01042025,17,45,weekday,65
01042025,16,45,weekday,65
01042025,15,47,weekday,65
01042025,14,49,weekday,65
01042025,13,54,weekday,65
01042025,12,54,weekday,65
01042025,11,54,weekday,65
01042025,10,55,weekday,65
01042025,9,59,weekday,65
01042025,8,59,weekday,65
01042025,7,59,weekday,65
01042025,6,60,weekday,65
01042025,5,60,weekday,65
01042025,4,60,weekday,65
01042025,3,62,weekday,65
01042025,2,62,weekday,65
01042025,1,65,weekday,65
01042025,0,65,weekday,65
01052024,30,31,weekday,73
01052024,29,32,weekday,73
01052024,28,32,weekday,73
01052024,27,37,weekday,73
01052024,26,37,weekday,73
01052024,25,40,weekday,73
01052024,24,40,weekday,73
01052024,23,40,weekday,73
01052024,22,40,weekday,73
01052024,21,44,weekday,73
01052024,20,44,weekday,73
01052024,19,47,weekday,73
01052024,18,47,weekday,73
01052024,17,52,weekday,73
01052024,16,57,weekday,73
01052024,15,57,weekday,73
01052024,14,57,weekday,73
01052024,13,58,weekday,73
01052024,12,58,weekday,73
01052024,11,63,weekday,73
01052024,10,63,weekday,73
01052024,9,63,weekday,73
01052024,8,64,weekday,73
01052024,7,65,weekday,73
01052024,6,65,weekday,73
01052024,5,65,weekday,73
01052024,4,68,weekday,73
01052024,3,68,weekday,73
01052024,2,72,weekday,73
01052024,1,73,weekday,73
01052024,0,73,weekday,73
01052025,30,31,weekday,75
01052025,29,32,weekday,75
01052025,28,32,weekday,75
01052025,27,37,weekday,75
01052025,26,38,weekday,75
01052025,25,40,weekday,75
01052025,24,44,weekday,75
01052025,23,44,weekday,75
01052025,22,44,weekday,75
01052025,21,44,weekday,75
01052025,20,49,weekday,75
01052025,19,49,weekday,75
01052025,18,49,weekday,75
01052025,17,54,weekday,75
01052025,16,57,weekday,75
01052025,15,57,weekday,75
01052025,14,61,weekday,75
01052025,13,61,weekday,75
01052025,12,61,weekday,75
01052025,11,61,weekday,75
01052025,10,61,weekday,75
01052025,9,62,weekday,75
01052025,8,67,weekday,75
01052025,7,69,weekday,75
01052025,6,69,weekday,75
01052025,5,69,weekday,75
01052025,4,73,weekday,75
01052025,3,74,weekday,75
01052025,2,75,weekday,75
01052025,1,75,weekday,75
01052025,0,75,weekday,75
01062024,30,22,weekend,89
01062024,29,23,weekend,89
01062024,28,23,weekend,89
01062024,27,25,weekend,89
01062024,26,25,weekend,89
01062024,25,28,weekend,89
01062024,24,28,weekend,89
01062024,23,30,weekend,89
01062024,22,30,weekend,89
01062024,21,30,weekend,89
01062024,20,32,weekend,89
01062024,19,33,weekend,89
01062024,18,34,weekend,89
01062024,17,39,weekend,89
01062024,16,40,weekend,89
01062024,15,42,weekend,89
01062024,14,42,weekend,89
01062024,13,48,weekend,89
01062024,12,55,weekend,89
01062024,11,55,weekend,89
01062024,10,61,weekend,89
01062024,9,61,weekend,89
01062024,8,61,weekend,89
01062024,7,62,weekend,89
01062024,6,64,weekend,89
01062024,5,69,weekend,89
01062024,4,72,weekend,89
01062024,3,72,weekend,89
01062024,2,78,weekend,89
01062024,1,81,weekend,89
01062024,0,89,weekend,89
01062025,30,18,weekend,80
01062025,29,22,weekend,80
01062025,28,23,weekend,80
01062025,27,23,weekend,80
01062025,26,24,weekend,80
01062025,25,25,weekend,80
01062025,24,26,weekend,80
01062025,23,26,weekend,80
01062025,22,26,weekend,80
01062025,21,28,weekend,80
01062025,20,31,weekend,80
01062025,19,31,weekend,80
01062025,18,34,weekend,80
01062025,17,37,weekend,80
01062025,16,37,weekend,80
01062025,15,37,weekend,80
01062025,14,39,weekend,80
01062025,13,39,weekend,80
01062025,12,47,weekend,80
01062025,11,49,weekend,80
01062025,10,50,weekend,80
01062025,9,50,weekend,80
01062025,8,56,weekend,80
01062025,7,62,weekend,80
01062025,6,62,weekend,80
01062025,5,65,weekend,80
01062025,4,65,weekend,80
01062025,3,65,weekend,80
01062025,2,79,weekend,80
01062025,1,79,weekend,80
01062025,0,80,weekend,80
01072024,30,26,weekday,70
01072024,29,32,weekday,70
01072024,28,34,weekday,70
01072024,27,34,weekday,70
01072024,26,34,weekday,70
01072024,25,39,weekday,70
01072024,24,39,weekday,70
01072024,23,40,weekday,70
01072024,22,40,weekday,70
01072024,21,45,weekday,70
01072024,20,45,weekday,70
01072024,19,47,weekday,70
01072024,18,47,weekday,70
01072024,17,47,weekday,70
01072024,16,47,weekday,70
01072024,15,50,weekday,70
01072024,14,57,weekday,70
01072024,13,57,weekday,70
01072024,12,57,weekday,70
01072024,11,61,weekday,70
01072024,10,61,weekday,70
01072024,9,63,weekday,70
01072024,8,63,weekday,70
01072024,7,63,weekday,70
01072024,6,63,weekday,70
01072024,5,65,weekday,70
01072024,4,65,weekday,70
01072024,3,68,weekday,70
01072024,2,69,weekday,70
01072024,1,70,weekday,70
01072024,0,70,weekday,70
